response_id,user_stage,recorded_at,source,platform,brand,human_sentiment,open_response
TX-0001,New setup,2025-01-01,Review,Mobile,Harbor,negative,"Before documenting a choice, the data provenance helps me verify when data changed, and citations need more context. In a time-limited review, I also check the decision note so I can record the next decision."
TX-0002,New setup,2025-01-02,Survey,Web,Northstar,positive,"After reopening the project, the data provenance helps me trace a number to its origin, and the origin should stay visible. When I need to explain the result, I also check the layout so I can locate saved work."
TX-0003,New setup,2025-01-03,Survey,Mobile,Northstar,negative,"After reopening the project, the page hierarchy helps me understand where I am, and labels need plainer wording. When several metrics disagree, I also check the citation panel so I can challenge an assumption."
TX-0004,New setup,2025-01-04,Review,Web,Northstar,positive,"Before sharing the result, the follow-up reminder helps me assign a clear owner, and the deadline should be prominent. When I need to explain the result, I also check the control labels so I can find the right view."
TX-0005,New setup,2025-01-05,Survey,Mobile,Harbor,positive,"After importing new evidence, the layout helps me understand where I am, and the sequence feels predictable. When several metrics disagree, I also check the next-step panel so I can record the next decision."
TX-0006,New setup,2025-01-06,Survey,Web,Northstar,positive,"After reopening the project, the assumption log helps me verify when data changed, and the method note is precise. In a time-limited review, I also check the action queue so I can assign a clear owner."
TX-0007,New setup,2025-01-07,Review,Mobile,Northstar,negative,"Before sharing the result, the layout helps me locate saved work, and labels need plainer wording. For a high-attention planning session, I also check the follow-up reminder so I can turn the finding into a task."
TX-0008,New setup,2025-01-08,Survey,Web,Northstar,positive,"Before sharing the result, the decision note helps me assign a clear owner, and the deadline should be prominent. When several metrics disagree, I also check the method note so I can check the supporting source."
TX-0009,New setup,2025-01-09,Survey,Mobile,Harbor,negative,"After reopening the project, the menu helps me move between sections, and the side panel is crowded. For a routine operational check, I also check the assumption log so I can check the supporting source."
TX-0010,New setup,2025-01-10,Review,Web,Northstar,positive,"While preparing a workshop, the control labels helps me find the right view, and the route is easy to learn. For a routine operational check, I also check the owner field so I can carry a scenario into planning."
TX-0011,New setup,2025-01-11,Survey,Mobile,Northstar,positive,"After reopening the project, the menu helps me move between sections, and the sequence feels predictable. For a high-attention planning session, I also check the decision note so I can carry a scenario into planning."
TX-0012,New setup,2025-01-12,Survey,Web,Northstar,negative,"Before documenting a choice, the layout helps me move between sections, and the side panel is crowded. In a time-limited review, I also check the method note so I can challenge an assumption."
TX-0013,New setup,2025-01-13,Review,Mobile,Harbor,positive,"Before a team review, the owner field helps me assign a clear owner, and the plan is easy to export. For a colleague seeing it fresh, I also check the page hierarchy so I can understand where I am."
TX-0014,New setup,2025-01-14,Survey,Web,Northstar,positive,"While comparing two options, the scenario handoff helps me record the next decision, and the deadline should be prominent. When the decision is contested, I also check the method note so I can challenge an assumption."
TX-0015,New setup,2025-01-15,Survey,Mobile,Northstar,negative,"While comparing two options, the layout helps me find the right view, and labels need plainer wording. When I need to explain the result, I also check the data provenance so I can challenge an assumption."
TX-0016,New setup,2025-01-16,Review,Web,Northstar,negative,"During the first walkthrough, the action queue helps me assign a clear owner, and ownership remains unclear. When the decision is contested, I also check the layout so I can find the right view."
TX-0017,New setup,2025-01-17,Survey,Mobile,Harbor,positive,"After reopening the project, the assumption log helps me verify when data changed, and the audit trail builds confidence. For a high-attention planning session, I also check the menu so I can find the right view."
TX-0018,New setup,2025-01-18,Survey,Web,Northstar,positive,"Before sharing the result, the filter panel helps me move between sections, and the sequence feels predictable. When several metrics disagree, I also check the next-step panel so I can turn the finding into a task."
